stage,question,intervention,main_result,decision,scientific_consequence
V1_foundation,Can a lightweight RGB detector discriminate Real vs AI under controlled development?,MobileNet / EfficientNet family; RQ1–RQ4 pipeline,Strong internal discrimination; FINAL_RESEARCH_MODEL_V1=C0 (RQ3 A2 robust RGB MobileNet),FINAL_RESEARCH_MODEL_V1 = C0,Established resource-aware V1 baseline and controlled robustness/calibration programme
V1_robustness_calibration_resource,"RQ2–RQ5 + resource: transforms, fusion, calibration, selective, cost",StrongRobust / transform-aware training; temperature; selective; Stage26 resource,RQ2–RQ5 COMPLETE internally; C0 preferred for calibrated/selective + cost vs C1,C0 selected as V1 final,Internal story looked trustworthy; independent external still needed
V1_external_Stage27A,Does C0 transfer to an independent public external set?,Frozen C0 inference (no retune),Severe external failure ~AUC0.516 / AI_rec0.220 / RealSpec0.806,EXTERNAL_FAILURE (historical),Motivates V2 foundation-model / modern-generator programme; CONTEXT_ONLY vs NTIRE
V2-0,Freeze V1 and lock V2 scientific protocol,Protocol lock; V1 immutable,V1 frozen; V2 rules locked; NTIRE sealed,V2_PROTOCOL_LOCKED,Prevents V1 contamination and post-hoc NTIRE peeking during development
V2-3,Build balanced multi-generator V2 development dataset + folds,Smartphone acquisition + multi-generator splits; four folds locked,V2 development pool + fold manifests locked,FOLDS_LOCKED,All later V2 metrics share the same development evaluation units
V2-5,Does frozen CLIP linear probing beat lightweight V1-style representations on V2 development?,open_clip ViT-B-16-quickgelu embeddings + LogReg,Macro AUC~0.815; CLIP_BASELINE_PROMISING,CLIP_BASELINE_PROMISING,Foundation embeddings are a viable V2 starting point
V2-6,Can a validation-only linear-probe refinement improve reliability?,Select C among frozen CLIP LogReg candidates (C=3.0),Macro AUC~0.820; RealSpec improved vs V2-5,LINEAR_PROBE_REFINED,Modest clean reliability gain without adapting CLIP weights
V2-7,Does a small nonlinear head help on frozen CLIP?,MLP-B on frozen CLIP,Macro AUC~0.837; modest gain; Fold4 Real regression,MLP_MODEST_GAIN,Remaining limit likely in representation → motivates LoRA
V2-8,Does parameter-efficient LoRA improve development ranking?,LoRA last-4 blocks + MLP-B (Kaggle P100),AUC~0.903 / AP~0.917 but AI_rec@0.5~0.386; LORA_MIXED,LORA_MIXED,Ranking improved; fixed-threshold operating point worsened
V2-9A,What failure modes explain LoRA+MLP-B low recall?,Analysis-only diagnostic,Operating-point / score-shift diagnosis; not a solved detector,ANALYSIS_ONLY,Points to calibration/head operating-point work rather than immediate new LoRA recipe
V2-9B,Is a leakage-safe post-hoc calibration protocol available on existing sets?,Protocol audit,CALIBRATION_PROTOCOL_NOT_SAFE,CALIBRATION_PROTOCOL_NOT_SAFE,Blocked unsafe calibrator fitting on contaminated splits
V2-9C,Can an independent calibration set be constructed?,Feasibility audit + set construction,CALIBRATION_SET_FEASIBLE_WITH_LIMITATIONS,CALIBRATION_SET_FEASIBLE_WITH_LIMITATIONS,Enabled V2-9D under leakage locks
V2-9D,Does temperature/Platt safely repair LoRA+MLP-B operating point?,Fit calibrators on independent calib set only,Temperature helps NLL/Brier but preserves .5 decisions; Platt raises recall with severe Real FPs,CALIBRATION_NOT_HELPFUL,Calibration does not safely solve LoRA+MLP-B operational failure
V2-10A,Is LoRA R1 representation-limited or head-limited?,kNN / geometry on R0/R1/R2,R1 k5 purity ~0.966; FNs remain in AI neighbourhood → HEAD_LIMITED,HEAD_LIMITED,Justifies frozen-R1 head redesign without further LoRA training
V2-10B,Can a tiny balanced linear head rescue clean operating performance?,H1/H2 LogReg on frozen R1; H2 class-balanced,H2 CLEAN AUC~0.951 AI_rec~0.576 RealSpec~0.967,HEAD_RESCUE_PROMISING,Shows representation was underutilized by MLP-B at thr=0.5
V2-10C,Do temperature + selective prediction make H2 trustworthy?,Temperature on H2; selective S90; thr unchanged,Temp improves NLL/Brier; 0 classification changes; S90 err_capture~0.16 enrich~2x,SELECTIVE_PREDICTION_MIXED,Confidence methods informative but do not solve generalisation; not transferred to H4
V2-10D,Is H2 robust under StrongRobust transforms?,jpeg_q50 / resize_112 / blur_sigma2 / screenshot_strong,Catastrophic collapses (JPEG AI_rec~0.089; resize RealSpec~0.131),ROBUSTNESS_NOT_ACCEPTABLE,Blocks selecting H2 as final despite best clean scores
V2-10E,Are StrongRobust failures geometry collapse or head/margin shift?,Transformed R1 geometry + H2 margin diagnostics,k5 purity remains high under transforms; HEAD_SHIFT_DOMINANT all four,ROBUSTNESS_HEAD_LIMITED,Supports frozen-R1 robust-head intervention (not LoRA retrain)
V2-10F,Can equal-condition robust LogReg (H3) rescue transforms?,H3 on CLEAN+4 StrongRobust TRAIN R1 equal 20%,mean tf AUC~0.832 RealSpec~0.887; CLEAN AUC drops to ~0.918,ROBUST_HEAD_MIXED,Cheap head-level robustness works but over-rotates vs clean
V2-10G,Why does H3 pay a clean cost / where does it over-rotate?,Direction/conflict analysis H2 vs H3,H3 over-rotated from clean separation; Fold4/Seedream amplify cost,ROBUST_HEAD_MIXED_LIMITATION,Motivates single predeclared clean-anchored H4 (no weight grid)
V2-10H,Does clean-anchored weighting (H4) recover clean without losing robustness?,H4 LogReg sample_weight CLEAN=4 / each transform=1,CLEAN AUC~0.926; mean tf AUC~0.826 RealSpec~0.883; PROMISING gates missed,CLEAN_ANCHORED_ROBUST_HEAD_MIXED,Best completed clean/robust compromise among H2/H3/H4
V2-10I,Freeze final V2 development model before NTIRE,SHA256 manifest + protocol lock; no training/inference,FINAL_RESEARCH_MODEL_V2=H4; FROZEN_WITH_DOCUMENTED_LIMITATIONS,DEVELOPMENT_FROZEN,Makes sealed external evaluation scientifically interpretable
V2-11,Does frozen H4 transfer to sealed NTIRE?,Equal-weight 4-fold ensemble; thr=0.5; no retune,AUC0.625 / AI_rec0.130 / RealSpec0.956; WEAK_EXTERNAL_TRANSFER,WEAK_EXTERNAL_TRANSFER; H4 unchanged,Development gains do not imply broad independent transfer; programme closed experimentally
V2-12,Consolidate evidence for paper writing,Documentation synthesis only,Authoritative evidence package + claim register + narrative,RESULTS_SYNTHESIS_COMPLETE,Enables full paper draft without further experiments
