# SUPERSEDED_BY_PROTOCOL_V1_1 — Midjourney V8.2 replaced by Seedream 5.0 Pro (fal.ai). Retained as historical evidence.
prompt_id,exact_prompt,required_version,required_aspect_ratio,target_filename,target_folder,mode,forbidden,notes
P0001,"Photorealistic natural camera photograph. A herd of giraffe running across a field.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0001.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0002,"Photorealistic natural camera photograph. A lady laying on a blanket on the beach under an umbrella. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0002.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0003,"Photorealistic natural camera photograph. A blue bus parked in front of a tall building.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0003.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0004,"Photorealistic natural camera photograph. A bed flanked on both sides by two room lights and desks.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0004.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0005,"Photorealistic natural camera photograph. A man doing a leap on a skateboard on a city sidewalk.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0005.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0006,"Photorealistic natural camera photograph. A building that is heavily lit up and in front of a river.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0006.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0007,"Photorealistic natural camera photograph. A person cooking some food on a grill.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0007.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0008,"Photorealistic natural camera photograph. A guy on a skate board high in the air.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0008.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0009,"Photorealistic natural camera photograph. A Sony camera and a cell phone are on a table.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0009.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0010,"Photorealistic natural camera photograph. Two black dogs on a couch sleeping peacefully.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0010.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
