fold,subset,pattern,group,n
1,AI,both_wrong,mllm::GPT_Image_2,314
1,AI,both_wrong,qwen::GPT-Image-1.5,81
1,AI,both_wrong,qwen::FLUX.2_max,80
1,AI,both_wrong,qwen::gpt-image-2,79
1,AI,both_wrong,qwen::Qwen-Image-2512,75
1,AI,both_wrong,qwen::kling_v2_1,72
1,AI,both_wrong,qwen::GPT-Image-1,70
1,AI,both_wrong,tiny::SD15,65
1,AI,both_wrong,tiny::ADM,29
1,AI,both_wrong,TOTAL,865
1,AI,baseline_wrong_selected_correct,mllm::GPT_Image_2,19
1,AI,baseline_wrong_selected_correct,tiny::ADM,5
1,AI,baseline_wrong_selected_correct,qwen::kling_v2_1,2
1,AI,baseline_wrong_selected_correct,qwen::FLUX.2_max,2
1,AI,baseline_wrong_selected_correct,qwen::GPT-Image-1,2
1,AI,baseline_wrong_selected_correct,qwen::GPT-Image-1.5,1
1,AI,baseline_wrong_selected_correct,TOTAL,31
1,AI,baseline_correct_selected_wrong,tiny::SD15,12
1,AI,baseline_correct_selected_wrong,mllm::GPT_Image_2,11
1,AI,baseline_correct_selected_wrong,qwen::GPT-Image-1,5
1,AI,baseline_correct_selected_wrong,tiny::ADM,5
1,AI,baseline_correct_selected_wrong,qwen::Qwen-Image-2512,4
1,AI,baseline_correct_selected_wrong,qwen::kling_v2_1,4
1,AI,baseline_correct_selected_wrong,qwen::gpt-image-2,3
1,AI,baseline_correct_selected_wrong,qwen::FLUX.2_max,3
1,AI,baseline_correct_selected_wrong,qwen::GPT-Image-1.5,2
1,AI,baseline_correct_selected_wrong,TOTAL,49
1,Real,both_wrong,Tiny,38
1,Real,both_wrong,MLLM,31
1,Real,both_wrong,Smartphone,7
1,Real,both_wrong,TOTAL,76
1,Real,baseline_wrong_selected_correct,Tiny,12
1,Real,baseline_wrong_selected_correct,MLLM,5
1,Real,baseline_wrong_selected_correct,Smartphone,2
1,Real,baseline_wrong_selected_correct,COCO,1
1,Real,baseline_wrong_selected_correct,TOTAL,20
1,Real,baseline_correct_selected_wrong,MLLM,1
1,Real,baseline_correct_selected_wrong,Tiny,1
1,Real,baseline_correct_selected_wrong,TOTAL,2
2,AI,both_wrong,mllm::Nano_Banana_2,288
2,AI,both_wrong,tiny::VQDM,163
2,AI,both_wrong,qwen::nano-banana-2.0,74
2,AI,both_wrong,qwen::Seedream-4.0,73
2,AI,both_wrong,qwen::nano-banana-pro,72
2,AI,both_wrong,qwen::GLM-Image,64
2,AI,both_wrong,tiny::BigGAN,22
2,AI,both_wrong,TOTAL,756
2,AI,baseline_wrong_selected_correct,mllm::Nano_Banana_2,27
2,AI,baseline_wrong_selected_correct,tiny::VQDM,10
2,AI,baseline_wrong_selected_correct,tiny::BigGAN,5
2,AI,baseline_wrong_selected_correct,qwen::nano-banana-pro,2
2,AI,baseline_wrong_selected_correct,qwen::Seedream-4.0,2
2,AI,baseline_wrong_selected_correct,qwen::GLM-Image,1
2,AI,baseline_wrong_selected_correct,qwen::nano-banana-2.0,1
2,AI,baseline_wrong_selected_correct,TOTAL,48
2,AI,baseline_correct_selected_wrong,mllm::Nano_Banana_2,25
2,AI,baseline_correct_selected_wrong,qwen::nano-banana-2.0,5
2,AI,baseline_correct_selected_wrong,tiny::VQDM,4
2,AI,baseline_correct_selected_wrong,qwen::Seedream-4.0,2
2,AI,baseline_correct_selected_wrong,qwen::GLM-Image,2
2,AI,baseline_correct_selected_wrong,qwen::nano-banana-pro,1
2,AI,baseline_correct_selected_wrong,TOTAL,39
2,Real,both_wrong,Tiny,41
2,Real,both_wrong,MLLM,21
2,Real,both_wrong,Smartphone,6
2,Real,both_wrong,COCO,2
2,Real,both_wrong,TOTAL,70
2,Real,baseline_wrong_selected_correct,Tiny,12
2,Real,baseline_wrong_selected_correct,MLLM,7
2,Real,baseline_wrong_selected_correct,Smartphone,2
2,Real,baseline_wrong_selected_correct,TOTAL,21
2,Real,baseline_correct_selected_wrong,Tiny,2
2,Real,baseline_correct_selected_wrong,TOTAL,2
3,AI,both_wrong,qwen::Seedream-4.5,79
3,AI,both_wrong,qwen::GPT-Image-1.5,74
3,AI,both_wrong,qwen::FLUX.2-pro,71
3,AI,both_wrong,qwen::HunyuanImage-3.0,69
3,AI,both_wrong,qwen::GPT-Image-1,66
3,AI,both_wrong,tiny::Wukong,34
3,AI,both_wrong,tiny::GLIDE,6
3,AI,both_wrong,TOTAL,399
3,AI,baseline_wrong_selected_correct,qwen::GPT-Image-1,4
3,AI,baseline_wrong_selected_correct,qwen::FLUX.2-pro,3
3,AI,baseline_wrong_selected_correct,qwen::GPT-Image-1.5,3
3,AI,baseline_wrong_selected_correct,tiny::Wukong,3
3,AI,baseline_wrong_selected_correct,qwen::HunyuanImage-3.0,1
3,AI,baseline_wrong_selected_correct,qwen::Seedream-4.5,1
3,AI,baseline_wrong_selected_correct,tiny::GLIDE,1
3,AI,baseline_wrong_selected_correct,TOTAL,16
3,AI,baseline_correct_selected_wrong,qwen::GPT-Image-1.5,4
