prompt_id,coco_source_image_id,original_coco_caption,generation_prompt,selection_seed
P0001,450758,A herd of giraffe running across a field.,"Photorealistic natural camera photograph. A herd of giraffe running across a field.. No text, no watermark, realistic lighting and camera detail.",42
P0002,250619,A lady laying on a blanket on the beach under an umbrella,"Photorealistic natural camera photograph. A lady laying on a blanket on the beach under an umbrella. No text, no watermark, realistic lighting and camera detail.",42
P0003,377723,A blue bus parked in front of a tall building.,"Photorealistic natural camera photograph. A blue bus parked in front of a tall building.. No text, no watermark, realistic lighting and camera detail.",42
P0004,231549,A bed flanked on both sides by two room lights and desks.,"Photorealistic natural camera photograph. A bed flanked on both sides by two room lights and desks.. No text, no watermark, realistic lighting and camera detail.",42
P0005,171382,A man doing a leap on a skateboard on a city sidewalk.,"Photorealistic natural camera photograph. A man doing a leap on a skateboard on a city sidewalk.. No text, no watermark, realistic lighting and camera detail.",42
P0006,466416,A building that is heavily lit up and in front of a river.,"Photorealistic natural camera photograph. A building that is heavily lit up and in front of a river.. No text, no watermark, realistic lighting and camera detail.",42
P0007,258883,A person cooking some food on a grill.,"Photorealistic natural camera photograph. A person cooking some food on a grill.. No text, no watermark, realistic lighting and camera detail.",42
P0008,377635,A guy on a skate board high in the air.,"Photorealistic natural camera photograph. A guy on a skate board high in the air.. No text, no watermark, realistic lighting and camera detail.",42
P0009,446207,A Sony camera and a cell phone are on a table.,"Photorealistic natural camera photograph. A Sony camera and a cell phone are on a table.. No text, no watermark, realistic lighting and camera detail.",42
P0010,236784,Two black dogs on a couch sleeping peacefully.,"Photorealistic natural camera photograph. Two black dogs on a couch sleeping peacefully.. No text, no watermark, realistic lighting and camera detail.",42
P0011,548339,A boy swings his bat at a baseball game as people watch on the bleachers behind him.,"Photorealistic natural camera photograph. A boy swings his bat at a baseball game as people watch on the bleachers behind him.. No text, no watermark, realistic lighting and camera detail.",42
