audit_type,key,n,image_ids,sources,action,distance
exact_sha256,e4ec2c0e44496f7c175b888abcb157d1cb92aa518298df8ed429e766cc5f3dad,2,MLLM_TEX_Nano-Banana2-fake_127|MLLM_TEX_Nano-Banana2-fake_128,MLLM,keep=MLLM_TEX_Nano-Banana2-fake_127; exclude_extras,0
phash_candidate,MLLM_HYB_real_107__MLLM_HYB_Nano-Banana2-fake_16,2,MLLM_HYB_real_107|MLLM_HYB_Nano-Banana2-fake_16,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_HYB_real_58__MLLM_HYB_Nano-Banana2-fake_103,2,MLLM_HYB_real_58|MLLM_HYB_Nano-Banana2-fake_103,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_HYB_real_63__MLLM_HYB_Nano-Banana2-fake_113,2,MLLM_HYB_real_63|MLLM_HYB_Nano-Banana2-fake_113,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_HYB_real_77__MLLM_HYB_Nano-Banana2-fake_142,2,MLLM_HYB_real_77|MLLM_HYB_Nano-Banana2-fake_142,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_HYB_real_86__MLLM_HYB_Nano-Banana2-fake_162,2,MLLM_HYB_real_86|MLLM_HYB_Nano-Banana2-fake_162,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_HYB_real_86__MLLM_HYB_Nano-Banana2-fake_163,2,MLLM_HYB_real_86|MLLM_HYB_Nano-Banana2-fake_163,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_real_10__MLLM_STR_Nano-Banana2-fake_20,2,MLLM_STR_real_10|MLLM_STR_Nano-Banana2-fake_20,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_116__MLLM_STR_real_122,2,MLLM_STR_real_116|MLLM_STR_real_122,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_128__MLLM_STR_Nano-Banana2-fake_264,2,MLLM_STR_real_128|MLLM_STR_Nano-Banana2-fake_264,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_13__MLLM_STR_Nano-Banana2-fake_26,2,MLLM_STR_real_13|MLLM_STR_Nano-Banana2-fake_26,MLLM|MLLM,record_only_no_auto_exclude,0
phash_candidate,MLLM_STR_real_14__MLLM_STR_Nano-Banana2-fake_27,2,MLLM_STR_real_14|MLLM_STR_Nano-Banana2-fake_27,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_STR_real_14__MLLM_STR_Nano-Banana2-fake_28,2,MLLM_STR_real_14|MLLM_STR_Nano-Banana2-fake_28,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_real_15__MLLM_STR_Nano-Banana2-fake_29,2,MLLM_STR_real_15|MLLM_STR_Nano-Banana2-fake_29,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_15__MLLM_STR_Nano-Banana2-fake_30,2,MLLM_STR_real_15|MLLM_STR_Nano-Banana2-fake_30,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_16__MLLM_STR_Nano-Banana2-fake_31,2,MLLM_STR_real_16|MLLM_STR_Nano-Banana2-fake_31,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_real_304__MLLM_STR_Nano-Banana2-fake_123,2,MLLM_STR_real_304|MLLM_STR_Nano-Banana2-fake_123,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_real_310__MLLM_STR_Nano-Banana2-fake_97,2,MLLM_STR_real_310|MLLM_STR_Nano-Banana2-fake_97,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_real_4__MLLM_STR_Nano-Banana2-fake_8,2,MLLM_STR_real_4|MLLM_STR_Nano-Banana2-fake_8,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_5__MLLM_STR_Nano-Banana2-fake_10,2,MLLM_STR_real_5|MLLM_STR_Nano-Banana2-fake_10,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_62__MLLM_STR_Nano-Banana2-fake_136,2,MLLM_STR_real_62|MLLM_STR_Nano-Banana2-fake_136,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_69__MLLM_STR_Nano-Banana2-fake_283,2,MLLM_STR_real_69|MLLM_STR_Nano-Banana2-fake_283,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_STR_real_7__MLLM_STR_Nano-Banana2-fake_13,2,MLLM_STR_real_7|MLLM_STR_Nano-Banana2-fake_13,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_real_72__MLLM_STR_Nano-Banana2-fake_68,2,MLLM_STR_real_72|MLLM_STR_Nano-Banana2-fake_68,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_STR_real_83__MLLM_STR_Nano-Banana2-fake_86,2,MLLM_STR_real_83|MLLM_STR_Nano-Banana2-fake_86,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_real_83__MLLM_STR_Nano-Banana2-fake_254,2,MLLM_STR_real_83|MLLM_STR_Nano-Banana2-fake_254,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_real_85__MLLM_STR_Nano-Banana2-fake_230,2,MLLM_STR_real_85|MLLM_STR_Nano-Banana2-fake_230,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_TEX_real_105__MLLM_TEX_Nano-Banana2-fake_115,2,MLLM_TEX_real_105|MLLM_TEX_Nano-Banana2-fake_115,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_TEX_real_112__MLLM_TEX_Nano-Banana2-fake_46,2,MLLM_TEX_real_112|MLLM_TEX_Nano-Banana2-fake_46,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_TEX_real_115__MLLM_TEX_Nano-Banana2-fake_37,2,MLLM_TEX_real_115|MLLM_TEX_Nano-Banana2-fake_37,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_TEX_real_115__MLLM_TEX_Nano-Banana2-fake_205,2,MLLM_TEX_real_115|MLLM_TEX_Nano-Banana2-fake_205,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_TEX_real_161__MLLM_TEX_Nano-Banana2-fake_150,2,MLLM_TEX_real_161|MLLM_TEX_Nano-Banana2-fake_150,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_TEX_real_55__MLLM_TEX_Nano-Banana2-fake_97,2,MLLM_TEX_real_55|MLLM_TEX_Nano-Banana2-fake_97,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_TEX_real_66__MLLM_TEX_Nano-Banana2-fake_107,2,MLLM_TEX_real_66|MLLM_TEX_Nano-Banana2-fake_107,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_TEX_real_83__MLLM_TEX_Nano-Banana2-fake_138,2,MLLM_TEX_real_83|MLLM_TEX_Nano-Banana2-fake_138,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_TEX_real_86__MLLM_TEX_Nano-Banana2-fake_166,2,MLLM_TEX_real_86|MLLM_TEX_Nano-Banana2-fake_166,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_TEX_Nano-Banana2-fake_37__MLLM_TEX_Nano-Banana2-fake_205,2,MLLM_TEX_Nano-Banana2-fake_37|MLLM_TEX_Nano-Banana2-fake_205,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_Nano-Banana2-fake_96__MLLM_STR_Nano-Banana2-fake_84,2,MLLM_STR_Nano-Banana2-fake_96|MLLM_STR_Nano-Banana2-fake_84,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_STR_Nano-Banana2-fake_52__MLLM_STR_Nano-Banana2-fake_152,2,MLLM_STR_Nano-Banana2-fake_52|MLLM_STR_Nano-Banana2-fake_152,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_Nano-Banana2-fake_230__MLLM_STR_Nano-Banana2-fake_231,2,MLLM_STR_Nano-Banana2-fake_230|MLLM_STR_Nano-Banana2-fake_231,MLLM|MLLM,record_only_no_auto_exclude,2
