external_image_id,prompt_id,prompt_index,prompt,provider,underlying_generator_vendor,generator_family,generator_key,requested_model_endpoint,actual_model_endpoint,compatibility_adjustment,request_id,returned_url,generation_timestamp,generation_seed,seed_supported,requested_settings_json,actual_width,actual_height,content_type,native_extension,native_path,file_size_bytes,sha256,generation_status,retry_count,provenance_verified,notes
EXT_GPT2_0001,P0001,1,"Photorealistic natural camera photograph. A herd of giraffe running across a field.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7caa4/US0YKPAq7CgEcwYYOE0WZ_VYkPoIMa.png,2026-08-25T19:20:44.063555+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A herd of giraffe running across a field.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0001.png,1240739,853cb0c97bbaec359bf1e050fe96f82d42b04a6ba8759f16d93748608747c3b3,success,1,true,
EXT_GPT2_0002,P0002,2,"Photorealistic natural camera photograph. A lady laying on a blanket on the beach under an umbrella. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7cae2/XCsrSIFPw-FPYnziHR9qu_2KZTo7US.png,2026-08-25T19:30:49.343740+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A lady laying on a blanket on the beach under an umbrella. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0002.png,1065147,9328cb00278d5a53c0fb146af1e1e6bb9d24ab68b8e2976726f783b84e031592,success,1,true,
EXT_GPT2_0003,P0003,3,"Photorealistic natural camera photograph. A blue bus parked in front of a tall building.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7caf1/W3sSwiXT1NJetXXyxDyq-_OFKsNgty.png,2026-08-25T19:33:06.552891+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A blue bus parked in front of a tall building.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0003.png,997538,8dcdd4553c58a75c1780aca50455ed69297badab2fa2a7eb5c32193ca8a37e04,success,1,true,
EXT_GPT2_0004,P0004,4,"Photorealistic natural camera photograph. A bed flanked on both sides by two room lights and desks.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7cafe/BLP0FaOLAoHD2z48eMu3t_3JUoo17C.png,2026-08-25T19:35:18.305162+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A bed flanked on both sides by two room lights and desks.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0004.png,933869,8bf86a3cc656c9143fb1e7d3b07d4b5de4dc56ebd586e9cdef8f9785eede262f,success,1,true,
EXT_GPT2_0005,P0005,5,"Photorealistic natural camera photograph. A man doing a leap on a skateboard on a city sidewalk.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7cb0c/8D_LQqxlCKmL8wa0gp0hw_whRCxc4N.png,2026-08-25T19:37:43.505060+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A man doing a leap on a skateboard on a city sidewalk.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0005.png,1037009,8ee1c1edbcd275b4cc21ed329063a7b8e387afb3e0cb459e088d8999b9db7676,success,1,true,
EXT_GPT2_0006,P0006,6,"Photorealistic natural camera photograph. A building that is heavily lit up and in front of a river.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7cb1a/NGpDTqL9pXk9w3i3STZ-O_00JT3Bcd.png,2026-08-25T19:40:04.192486+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A building that is heavily lit up and in front of a river.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0006.png,1088830,50e19547bf1df42f40cef33a5b439e913de12bba729e33ee97999edd45116108,success,1,true,
EXT_GPT2_0007,P0007,7,"Photorealistic natural camera photograph. A person cooking some food on a grill.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7cb28/WR3CF9ZL2flp6PrJmdppk_w7l46FZB.png,2026-08-25T19:42:55.065279+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A person cooking some food on a grill.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0007.png,1114651,2b81a7d9cafde4ec50790b0f5d15a8907207570f6a9483f7e2c584a8bd315b4b,success,1,true,
EXT_GPT2_0008,P0008,8,"Photorealistic natural camera photograph. A guy on a skate board high in the air.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7cb4e/EFFnsT-1Iq7sTTVLR4ieD_Pgg1dDQU.png,2026-08-25T19:44:58.863226+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A guy on a skate board high in the air.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0008.png,1078551,54dd86229f8dd51e937d6aff8cf43e0aca5426e47d52f42fae941b09a672ea41,success,1,true,
EXT_GPT2_0009,P0009,9,"Photorealistic natural camera photograph. A Sony camera and a cell phone are on a table.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7cb45/orF8b0_Fud1WLgJzWVv4v_bi9GavNP.png,2026-08-25T19:47:11.665666+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A Sony camera and a cell phone are on a table.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0009.png,994617,1af3a710be7944d428160d9b37e091b876da42a9c3f4370836a0298520d7afb0,success,1,true,
EXT_GPT2_0010,P0010,10,"Photorealistic natural camera photograph. Two black dogs on a couch sleeping peacefully.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,switched image_size 1024x1024 → square after schema error,,https://v3b.fal.media/files/b/0aa7cb53/EvQC3_goauYnIORbfl46T_YKpwhyDq.png,2026-08-25T19:49:49.693952+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. Two black dogs on a couch sleeping peacefully.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0010.png,1315955,35e0618fc5bdb522775e8ecb7039ef4d3192a99fe58dd495cb61627b4bb1a7c9,success,1,true,
EXT_GPT2_0011,P0011,11,"Photorealistic natural camera photograph. A boy swings his bat at a baseball game as people watch on the bleachers behind him.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,image_size=square (validated in P0001 smoke test),,https://v3b.fal.media/files/b/0aa7cb66/iFEmAh5usUS1Nq5mlDJxc_5oyicpQB.png,2026-08-25T19:52:52.868395+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A boy swings his bat at a baseball game as people watch on the bleachers behind him.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0011.png,1013340,fad8959a8b190f6e7df11b0748f03b49fa43aa7dc91094ff699cbda58df0c3d8,success,0,true,
EXT_GPT2_0012,P0012,12,"Photorealistic natural camera photograph. A big elephant makes its way across the road with onlookers in the car.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,image_size=square (validated in P0001 smoke test),,https://v3b.fal.media/files/b/0aa7cb75/AXqn_1H1cLRtv7-JT_gZS_sw6pQnAz.png,2026-08-25T19:55:19.719721+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A big elephant makes its way across the road with onlookers in the car.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0012.png,1040982,b4e3d89c880808b576b3068e661246b10f3725323e37a58fd2544ef2bae9a90f,success,0,true,
EXT_GPT2_0013,P0013,13,"Photorealistic natural camera photograph. A stack of different electronics devices on a table.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,image_size=square (validated in P0001 smoke test),,https://v3b.fal.media/files/b/0aa7cb84/UKTbxeaPZ7CWj9H5PAsjB_vT6HXqCS.png,2026-08-25T19:57:35.111377+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A stack of different electronics devices on a table.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0013.png,888338,2bc1542b1d0271ba226ea3a8e995302bbf3842c8f57864fa742a582565312ab3,success,0,true,
EXT_GPT2_0014,P0014,14,"Photorealistic natural camera photograph. A bathroom has a shower and toilet in it.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,image_size=square (validated in P0001 smoke test),,https://v3b.fal.media/files/b/0aa7cba6/9sch2UyAQXSGwYM1ZbncT_3kCv9Zjv.png,2026-08-25T19:59:49.129218+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A bathroom has a shower and toilet in it.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0014.png,883217,dd7136c7890179aabc359f489e5d7a52da65379146b4ab33f24a4f39e4b3352b,success,0,true,
EXT_GPT2_0015,P0015,15,"Photorealistic natural camera photograph. A dog eyeballing something cooking in the oven.. No text, no watermark, realistic lighting and camera detail.",fal.ai,OpenAI,GPT Image 2,gpt_image_2,openai/gpt-image-2,openai/gpt-image-2,image_size=square (validated in P0001 smoke test),,https://v3b.fal.media/files/b/0aa7cb9e/KP8cDWZQvH6byyV7HbMI2_PHwwsmKA.png,2026-08-25T20:02:05.682481+00:00,,false,"{""image_size"": ""square"", ""num_images"": 1, ""output_format"": ""png"", ""prompt"": ""Photorealistic natural camera photograph. A dog eyeballing something cooking in the oven.. No text, no watermark, realistic lighting and camera detail."", ""quality"": ""high""}",816,816,image/png,.png,data/external_v1/native/ai/gpt_image_2/GPT2_P0015.png,1257829,5f68edf37e4a901c1e85c358b71eea963d956aba52cd1de96e717891aa7d035f,success,0,true,
